company_name,Last Traded Price,pct_change,absolute_change,volume,buy_price,sell_price,buy_qty,sell_qty
Jaiprakash Pow,17.94,2.34,0.41,32,660,128,17.94,0
JK Bank,98.46,-1.31,-1.31,3,718,35,98.46,0
JB Chemicals,1,805.7,1.05,18.7,90,461,0,1
JBM Auto,572.1,5.18,28.2,4,535,569,0,572.1
Jindal Saw,160.92,-1.83,-3,1,344,787,160.92,0
Jindal Stainles,802.2,0.51,4.1,472,683,0,802.2,0
JK Tyre Ind,485.75,5.86,26.9,6,940,50,485.75,0
JM Financial,142.56,-0.36,-0.51,4,190,489,142.56,0
JSW Holdings,19,970,-0.4,-80,11,355,19,970
JSW Infra,277.1,1.11,3.05,1,169,186,277.1,0
Jubilant Food,563.7,0.89,5,1,860,282,563.7,0
Jubilant Ing.,709.9,5.05,34.15,1,285,71,709.9,0
Jubilant Pharmo,1,87.1,3.09,32.6,385,360,0,1
Jupiter Wagons,260.25,2.48,6.3,761,147,260.25,0,124
Just Dial,730.25,3.46,24.4,162,29,730.25,0,172
Jyothy Labs,281,-0.95,-2.7,310,830,281,0,1
Jyoti CNC Auto,951.1,3.78,34.6,742,729,0,951.1,0
Kajaria Ceramic,1,53.7,-1.34,-14.3,239,450,0,1
KPIL,1,151.2,2.77,31,155,235,0,1
Kalyan Jeweller,484.85,2.97,14,2,727,535,0,484.85
Kansai Nerolac,222.98,0.94,2.07,385,627,222.98,0,12
Karur Vysya,252.39,1.83,4.53,1,505,834,252.39,0
Kaynes Tech,4,185,3.42,138.5,2,425,907,0
KEC Intl,711,1.53,10.7,297,855,0,711,0
KEI Industries,4,284.4,4.84,197.6,376,557,0,4
KFin Tech,1,78.1,0.85,9.1,1,829,163,0
Kirloskar Bros,1,645.4,2.59,41.5,52,884,0,1
Kirloskar Oil,1,244.8,-3.16,-40.6,606,280,1,244.8
KNR Construct,146.46,3.07,4.36,1,138,920,146.46,0
KPIT Tech,1,224.6,5.5,63.8,1,651,986,0
KPR Mill,974.6,0.93,9,118,639,0,974.6,0
Krishna Inst.,639.3,0.8,5.05,341,242,0,639.3,0
L&T Finance,300.3,0.15,0.45,5,32,118,0,300.3
Latent View,480.2,-0.46,-2.2,281,519,480.2,0,1
Laurus Labs,1,45.2,2.92,29.7,2,844,49,0
Lemon Tree,159.83,0.54,0.86,904,603,0,159.83,0
LIC Housing Fin,532.45,0.82,4.35,781,527,532.45,0,47
Linde India,5,896,-0.75,-44.5,28,926,5,896
Lloyds Metals,1,300.9,-0.69,-9,567,162,0,1
LT Foods,401.35,1.43,5.65,356,357,0,401.35,0
LT Technology,4,515.2,-0.8,-36.3,78,505,4,515.2
Lupin,2,125.8,0.32,6.7,595,995,0,0
Mahanagar Gas,1,151,2.61,29.3,180,783,1,151
Mah Seamless,554.85,-1.09,-6.1,109,504,554.85,0,1
MM Financial,376.6,3.14,11.45,5,356,269,0,376.6
Manappuram Fin,292.65,1.95,5.6,3,476,859,292.65,0
MRPL,148.22,3.15,4.52,4,187,18,0,148.22
Mankind Pharma,2,172.1,1.41,30.1,491,349,2,172.1
Marico,741.2,-0.17,-1.25,1,82,44,0,741.2
Mastek,2,153.3,0.73,15.5,42,163,0,2
Max Financial,1,689.9,0.2,3.3,605,147,0,1
